Item,impSES,impPSI,base,impSES_halfPV,impPSI_halfPV,base_halfPV,impSES_zeroPV,impPSI_zeroPV,base_zeroPV,imp_baseFEM,imp_FEMbase_halfPV,imp_base_zeroPV
sub_secn,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995,wy1995
weight_in_objective_fcn,1,1,1,1,1,1,1,1,1,1,1,1
NTC_CH_ratio,1,1,1,1,1,1,1,1,1,1,1,1
limit_fuel_import_CH,1,1,1,1,1,1,1,1,1,1,1,1
eu_policy,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
ch_policy,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA,ZBA
weather_year,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
run_year,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
t_start,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553,6553
t_end,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552
electrolyzer_demand_reduction_coefficient,1,1,1,1,1,1,1,1,1,1,1,1
flexible_household_heatpump_share,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
V2G_share_of_flexibly_charging_EV,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
reduce_inflex_demand_by_[MWh],-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884,-5659884
reduce_DH_demand_by_[MWh],0,0,0,0,0,0,0,0,0,0,0,0
ror_annual_TWh,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55,18.55
hydro_inflow_TWh,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06,20.06
pump_capacity_GW,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54
adding_hydro_storage_cap_TWh,2,2,2,2,2,2,2,2,2,2,2,2
heat_flexibility_Kelvin,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
battery_cost_factor,1,1,1,1,1,1,1,1,1,1,1,1
CH_only,True,True,False,True,True,False,True,True,False,True,True,True
neighbor_price_scenario_for_CH_only_mode,SESETH,PSI,SESETH,SESETH,PSI,SESETH,SESETH,PSI,SESETH,FEMbase,FEMbase_halfPV,FEMbase_zeroPV
